Date,MktPrem_R,FX_R,OVX_C,OVX_PC,OVX_NC
2010/1/4,,,,,
2010/1/5,0.037206252,0.69367807,-1.169999,0,-1.169999
2010/1/6,1.409295341,-0.344449663,0.130002,0.130002,0
2010/1/7,-1.089151408,0.314218382,-0.790001,0,-0.790001
2010/1/8,0.521810939,-0.275646045,-2.270001,0,-2.270001
2010/1/11,0.512255791,-0.210446964,-1.34,0,-1.34
2010/1/12,-0.179607007,0.173119295,1.610001,1.610001,0
2010/1/13,-1.363614354,-0.188531029,1.139999,1.139999,0
2010/1/14,1.133770524,0.03148119,-1.889999,0,-1.889999
2010/1/15,0.801202607,0.094413847,-1.060002,0,-1.060002
2010/1/19,-1.296948787,0.147775507,-1.279999,0,-1.279999
2010/1/20,-0.346210273,0.244882582,2.63,2.63,0
2010/1/21,-1.137886812,0.031318509,1.359998,1.359998,0
2010/1/22,-2.473425173,0.172197871,2.34,2.34,0
2010/1/25,-0.691098651,-0.17190186,-1.519996,0,-1.519996
2010/1/26,-3.488420819,0.297432686,0.449997,0.449997,0
2010/1/27,-0.516222961,0.062431715,0.450001,0.450001,0
2010/1/28,1.773932138,-0.218374669,-0.950001,0,-0.950001
2010/1/29,-0.709399101,-0.062529311,0.77,0.77,0
2010/2/1,-1.521037337,0.21898952,-1.599998,0,-1.599998
2010/2/2,-1.269166798,0.062431715,-0.010002,0,-0.010002
2010/2/3,1.587377722,-0.124785525,2.210003,2.210003,0
2010/2/4,-0.084559159,0.296735905,3.859996,3.859996,0
2010/2/5,-4.304494832,0.015571473,1.480004,1.480004,0
2010/2/8,-0.032538658,-0.031138097,-0.460003,0,-0.460003
2010/2/9,2.006145962,-0.155738981,-0.789997,0,-0.789997
2010/2/10,1.092125319,0.171580097,-0.830002,0,-0.830002
2010/2/22,1.582686907,-0.186857677,-4.23,0,-4.23
2010/2/23,0.489090462,0.093603744,1.200001,1.200001,0
2010/2/24,-0.897589868,0.015586035,-1.420002,0,-1.420002
2010/2/25,-1.369612125,0.015583606,0.100002,0.100002,0
2010/2/26,0.117526343,0.124649423,-0.740001,0,-0.740001
2010/3/1,1.899292945,-0.217864924,1.470001,1.470001,0
2010/3/2,0.25665479,-0.124766064,0.59,0.59,0
2010/3/3,0.414311122,-0.124921924,-0.350002,0,-0.350002
2010/3/4,-0.788312154,-0.031269543,-0.989998,0,-0.989998
2010/3/5,1.268685597,-0.281513919,-0.870003,0,-0.870003
2010/3/8,1.246782207,-0.031367629,0.550003,0.550003,0
2010/3/9,0.101486097,-0.17257609,-0.030002,0,-0.030002
2010/3/10,0.103622643,-0.110011001,0.09,0.09,0
2010/3/11,-0.383811345,-0.220264317,-0.579998,0,-0.579998
2010/3/12,-0.022788622,0.132450331,-0.59,0,-0.59
2010/3/15,-1.469278635,0.261400857,1.27,1.27,0
2010/3/16,0.789542022,-0.141353856,-0.16,0,-0.16
2010/3/17,1.972255575,-0.157282164,-0.75,0,-0.75
2010/3/18,0.484960372,0.078764965,-0.740001,0,-0.740001
2010/3/19,0.141075631,-0.047221785,0.12,0.12,0
2010/3/22,-0.789778846,0.188976378,-2.28,0,-2.28
2010/3/23,-0.31332862,0.031436655,-0.34,0,-0.34
2010/3/24,0.133090235,0.087994972,0.11,0.11,0
2010/3/25,0.191052386,-0.025119317,0.789999,0.789999,0
2010/3/26,0.488865718,0.009422111,-0.029999,0,-0.029999
2010/3/29,0.890486912,-0.166441604,0.07,0.07,0
2010/3/30,0.180184455,-0.094369299,-0.610001,0,-0.610001
2010/3/31,-0.535187551,0.094458438,0.050002,0.050002,0
2010/4/1,1.168950762,-0.125825731,-0.370001,0,-0.370001
2010/4/6,0.949738678,-0.236220472,-0.440001,0,-0.440001
2010/4/7,0.391500596,-0.331491713,0.240002,0.240002,0
2010/4/8,-0.79587977,-0.015837821,0.209999,0.209999,0
2010/4/9,0.421614216,-0.047520988,-0.1,0,-0.1
2010/4/12,0.312161624,-0.095087163,-2.13,0,-2.13
2010/4/13,-1.089970407,0.095177665,0.24,0.24,0
2010/4/14,0.833697536,-0.412044374,-0.120001,0,-0.120001
2010/4/15,0.918231121,-0.143220878,-0.239999,0,-0.239999
2010/4/16,-0.744435511,0.22310757,0.26,0.26,0
2010/4/19,-3.178291801,0.159007791,1.86,1.86,0
2010/4/20,0.58253277,-0.30163518,-1.220001,0,-1.220001
2010/4/21,1.134869472,-0.111464968,-0.129999,0,-0.129999
2010/4/22,-0.153849105,0.127530687,-0.02,0,-0.02
2010/4/23,0.322667482,-0.159210317,-0.97,0,-0.97
2010/4/26,1.908727861,-0.09567852,1.34,1.34,0
2010/4/27,-0.149110307,0.063846768,2.32,2.32,0
2010/4/28,-0.802213759,0.223321104,0.34,0.34,0
2010/4/29,-0.345947136,-0.296036925,-1.149999,0,-1.149999
2010/4/30,-0.623983184,0.009577932,0.719999,0.719999,0
2010/5/3,-0.656320011,0.255387071,-0.07,0,-0.07
2010/5/4,-0.274777096,0.264289126,2.489998,2.489998,0
2010/5/5,-2.954563298,0.371570122,2.940003,2.940003,0
2010/5/6,-1.531218427,0.585350419,4.119999,4.119999,0
2010/5/7,-0.168962107,-0.031456433,2.880001,2.880001,0
2010/5/10,1.284539806,-0.676526117,-2.560002,0,-2.560002
2010/5/11,-0.740032121,0.237604942,-1.18,0,-1.18
2010/5/12,-0.081075333,0.031605563,-1.91,0,-1.91
2010/5/13,2.202389502,0.221169036,-0.5,0,-0.5
2010/5/14,0.014444283,0.189155107,4,4,0
2010/5/17,-2.236763415,0.110132159,0.670002,0.670002,0
2010/5/18,-0.182189179,0.062863429,1.829998,1.829998,0
2010/5/19,-0.350162488,0.665933721,1.07,1.07,0
2010/5/20,-1.78788321,0.212188348,2.43,2.43,0
2010/5/21,-2.520406151,0.12455239,-1.889999,0,-1.889999
2010/5/24,1.169248577,-0.139947131,0.330002,0.330002,0
2010/5/25,-3.233133527,0.76300218,0.899997,0.899997,0
2010/5/26,1.137459305,-0.469788286,-2.349998,0,-2.349998
2010/5/27,1.052375614,-0.506164022,-2.75,0,-2.75
2010/5/28,0.714688881,-0.046816479,-0.209999,0,-0.209999
2010/6/1,-0.087573382,0.992974239,5.569999,5.569999,0
2010/6/2,-1.289824202,-0.457595152,-3.140003,0,-3.140003
2010/6/3,2.28153519,0.186364342,-1.199997,0,-1.199997
2010/6/4,-0.218801884,0.024802356,5.430001,5.430001,0
2010/6/7,-2.548411263,0.492824598,-0.370003,0,-0.370003
2010/6/8,-0.087240535,-0.098698415,-2.930001,0,-2.930001
2010/6/9,-1.128693928,0.061747453,-1.299999,0,-1.299999
2010/6/10,1.551233296,-0.061709349,-3.639999,0,-3.639999
2010/6/11,1.633422014,0.061747453,0.459999,0.459999,0
2010/6/14,1.198501843,-0.61709349,0.350002,0.350002,0
2010/6/15,0.896504759,0.155231295,-2,0,-2
2010/6/17,0.822219803,-0.09299442,-1.43,0,-1.43
2010/6/18,-0.307362594,-0.170648464,-1.040001,0,-1.040001
2010/6/21,1.895347723,-1.305361305,0.110001,0.110001,0
2010/6/22,-0.305362253,1.039206424,0.11,0.11,0
2010/6/23,-0.406690145,-0.046750818,1.289997,1.289997,0
2010/6/24,0.096468391,-0.109136264,0.650002,0.650002,0
2010/6/25,-1.523336037,0.124863431,-1.59,0,-1.59
2010/6/28,0.343162102,-0.087295401,0.889999,0.889999,0
2010/6/29,-1.035143469,0.533591288,2.450001,2.450001,0
2010/6/30,-1.27445978,0.176919734,0.34,0.34,0
2010/7/1,-1.033035257,-0.164213788,1.720001,1.720001,0
2010/7/2,1.051510873,0.09310409,-2.030002,0,-2.030002
2010/7/6,2.964767824,-0.093017487,1.050003,1.050003,0
2010/7/7,-0.191222008,-0.068276333,-2.490002,0,-2.490002
2010/7/8,0.981738941,-0.341614907,-1.970001,0,-1.970001
2010/7/9,0.499059957,-0.109068246,-1.209999,0,-1.209999
2010/7/12,-0.10630774,0.218374669,-1.369999,0,-1.369999
2010/7/13,-0.557112369,0.140077821,-0.330002,0,-0.330002
2010/7/14,1.535495182,-0.093254585,0.290001,0.290001,0
2010/7/15,-0.135164294,-0.062227754,0.080002,0.080002,0
2010/7/16,-0.524129469,0.021793275,0.889999,0.889999,0
2010/7/19,-0.197895033,0.0466897,-0.100002,0,-0.100002
2010/7/20,0.807536074,-0.037334329,-1.599999,0,-1.599999
2010/7/21,-0.14477331,0.305010893,1.450001,1.450001,0
2010/7/22,-0.459316691,-0.248231352,-0.290001,0,-0.290001
2010/7/23,1.232140079,-0.00933184,-1.150001,0,-1.150001
2010/7/26,0.332477762,-0.149323378,0.630001,0.630001,0
2010/7/27,-0.511927693,-0.249244478,-0.16,0,-0.16
2010/7/28,0.469493469,0.046850111,0.880001,0.880001,0
2010/7/29,0.176707466,-0.152972028,-2.220001,0,-2.220001
2010/7/30,-0.497238525,0.012506644,-0.05,0,-0.05
2010/8/2,1.941030865,-0.6471379,0.100001,0.100001,0
2010/8/3,0.574154246,-0.022026432,0.469999,0.469999,0
2010/8/4,0.184805459,0.195134233,-0.33,0,-0.33
2010/8/5,-0.454422647,-0.16648343,-0.44,0,-0.44
2010/8/6,0.32801234,-0.242275502,-0.42,0,-0.42
2010/8/9,0.888774431,-0.078851916,0.409999,0.409999,0
2010/8/10,-0.72400714,0.315656566,0.770003,0.770003,0
2010/8/11,-1.029567175,0.267463814,2.099998,2.099998,0
2010/8/12,-0.831435297,0.266750353,0.66,0.66,0
2010/8/13,0.784123027,-0.037558685,-0.220001,0,-0.220001
2010/8/16,0.624011853,-0.025048532,0.790001,0.790001,0
