Date,Rf,TWII,OVX,Plastic_Chemical,Iron_Steel,Building Materials_Construction,Finance_Insurance,Trading_Consumer Goods,Semiconductors ,Communications Technology_Internet ,Electronic Parts_Components
2010/1/4,1.542,8207.850,35.440,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2010/1/5,1.537,8211.400,34.270,101.31,99.33,101.48,100.33,100.54,99.57,100.18,98.79
2010/1/6,1.536,8327.620,34.400,105.20,99.80,101.79,102.14,102.20,100.86,100.36,98.92
2010/1/7,1.525,8237.420,33.610,104.99,99.23,100.69,101.00,100.71,100.08,97.70,97.00
2010/1/8,1.531,8280.900,31.340,105.25,101.96,103.31,101.95,101.26,99.51,97.85,97.59
2010/1/11,1.535,8323.820,30.000,106.47,104.25,103.89,101.75,101.35,100.13,98.67,98.56
2010/1/12,1.525,8309.370,31.610,106.24,103.83,103.22,101.31,100.29,99.45,99.52,99.31
2010/1/13,1.519,8196.560,32.750,104.71,101.35,102.23,99.35,101.27,97.99,99.23,98.38
2010/1/14,1.520,8289.980,30.860,105.14,103.06,102.67,99.65,102.02,99.55,99.55,99.83
2010/1/15,1.500,8356.890,29.800,105.46,102.50,102.56,100.11,102.82,100.50,99.89,100.15
2010/1/19,1.504,8249.000,28.520,103.84,101.21,102.73,99.36,101.42,98.65,99.54,99.88
2010/1/20,1.504,8220.930,31.150,103.66,101.34,101.41,97.77,101.06,99.48,98.98,99.69
2010/1/21,1.499,8127.870,32.510,102.97,100.17,100.21,97.53,99.81,97.68,98.37,98.55
2010/1/22,1.489,7927.310,34.850,101.87,96.71,98.45,95.11,97.29,95.02,97.64,95.77
2010/1/25,1.491,7872.990,33.330,100.91,95.41,96.46,94.08,95.40,94.58,97.58,95.12
2010/1/26,1.493,7598.810,33.780,97.47,93.30,91.39,90.61,92.18,92.19,95.27,90.61
2010/1/27,1.492,7560.030,34.230,97.70,93.42,91.78,90.66,90.83,91.51,93.46,90.45
2010/1/28,1.479,7694.580,33.280,98.43,95.25,94.38,92.13,92.11,92.77,93.14,92.88
2010/1/29,1.469,7640.440,34.050,97.58,94.79,93.76,91.36,92.82,92.81,92.81,93.12
2010/2/1,1.475,7524.670,32.450,96.69,93.51,92.72,89.83,92.65,90.60,91.82,91.11
2010/2/2,1.486,7429.610,32.440,95.36,91.42,89.48,88.58,91.72,89.12,91.23,89.08
2010/2/3,1.483,7547.980,34.650,95.87,92.78,89.53,89.79,90.80,91.21,91.98,90.67
2010/2/4,1.489,7542.040,38.510,96.55,93.41,89.58,89.51,90.37,91.05,92.35,91.23
2010/2/5,1.470,7217.830,39.990,93.65,90.20,84.02,84.57,85.84,87.60,88.73,86.51
2010/2/8,1.401,7215.880,39.530,93.82,90.56,82.93,84.77,83.97,87.88,86.24,86.90
2010/2/9,1.403,7361.040,38.740,95.22,91.99,86.83,86.30,85.93,89.66,88.42,89.22
2010/2/10,1.407,7441.840,37.910,96.34,94.23,88.01,87.10,87.90,90.43,89.76,90.22
2010/2/22,1.430,7560.040,33.680,97.99,96.12,89.55,90.53,89.93,91.55,90.82,90.70
2010/2/23,1.425,7597.440,34.880,100.27,96.70,90.10,90.34,89.84,92.05,91.74,90.67
2010/2/24,1.416,7529.670,33.460,99.30,95.26,88.67,89.78,90.05,90.66,91.23,90.66
2010/2/25,1.406,7426.960,33.560,99.46,93.77,87.19,88.27,88.95,89.03,90.72,90.13
2010/2/26,1.406,7436.100,32.820,99.98,93.68,88.85,88.68,88.64,89.01,91.41,90.11
2010/3/1,1.422,7577.750,34.290,101.02,95.67,92.04,90.29,91.66,91.16,91.90,90.84
2010/3/2,1.411,7597.620,34.880,101.06,95.86,90.27,90.28,91.50,91.34,92.65,91.89
2010/3/3,1.410,7629.520,34.530,102.33,96.41,91.64,91.71,92.25,91.54,91.90,91.77
