Date,FX_R,IsPrem_R,BcPrem_R,FiPrem_R,TcPrem_R,SiPrem_R,EcPrem_R,OVX_C,OVX_PC,OVX_NC
2010/1/4,,,,,,,,,,
2010/1/5,0.69367807,-0.680155754,1.472005491,0.320112649,0.533630269,-0.437390531,-1.211870846,-1.169999,0,-1.169999
2010/1/6,-0.344449663,0.471536282,0.302812088,1.805101835,1.647255966,1.293562981,0.125575535,0.130002,0.130002,0
2010/1/7,0.314218382,-0.573051175,-1.091800405,-1.121480717,-1.463445048,-0.780393904,-1.953903229,-0.790001,0,-0.790001
2010/1/8,-0.275646045,2.736338401,2.598990057,0.932199651,0.536982358,-0.57679289,0.60335459,-2.270001,0,-2.270001
2010/1/11,-0.210446964,2.246832923,0.55602248,-0.199511893,0.079231332,0.614855326,0.987292978,-1.34,0,-1.34
2010/1/12,0.173119295,-0.413127098,-0.650676046,-0.440257045,-1.049744054,-0.681288817,0.76165575,1.610001,1.610001,0
2010/1/13,-0.188531029,-2.394569892,-0.964879159,-1.940899297,0.969835953,-1.47122821,-0.946348049,1.139999,1.139999,0
2010/1/14,0.03148119,1.685588037,0.426466432,0.290143408,0.740122637,1.576216254,1.47202316,-1.889999,0,-1.889999
2010/1/15,0.094413847,-0.546927071,-0.118374265,0.464070378,0.77699669,0.954393402,0.313809409,-1.060002,0,-1.060002
2010/1/19,0.147775507,-1.272464607,0.164577812,-0.755468409,-1.363610161,-1.850256033,-0.27740496,-1.279999,0,-1.279999
2010/1/20,0.244882582,0.125645307,-1.290526841,-1.613925127,-0.360658542,0.833122323,-0.195294344,2.63,2.63,0
2010/1/21,0.031318509,-1.155611738,-1.186851934,-0.250481965,-1.251898287,-1.81066127,-1.156146364,1.359998,1.359998,0
2010/1/22,0.172197871,-3.461875977,-1.770474397,-2.487025026,-2.522087406,-2.726953779,-2.824963232,2.34,2.34,0
2010/1/25,-0.17190186,-1.356877224,-2.020017293,-1.085690742,-1.95099713,-0.472075194,-0.684803255,-1.519996,0,-1.519996
2010/1/26,0.297432686,-2.212787613,-5.26615675,-3.69296836,-3.384970898,-2.532687855,-4.741151214,0.449997,0.449997,0
2010/1/27,0.062431715,0.11900106,0.420116488,0.048847595,-1.473479727,-0.739310789,-0.188524694,0.450001,0.450001,0
2010/1/28,-0.218374669,1.954084283,2.834061212,1.609468231,1.41233214,1.369969548,2.686631872,-0.950001,0,-0.950001
2010/1/29,-0.062529311,-0.486344371,-0.662944012,-0.835879069,0.759780015,0.031912739,0.248764908,0.77,0.77,0
2010/2/1,0.21898952,-1.357873418,-1.117703238,-1.682306689,-0.184118601,-2.379883814,-2.163992254,-1.599998,0,-1.599998
2010/2/2,0.062431715,-2.23974585,-3.50357753,-1.399360753,-1.015485106,-1.63992581,-2.237592167,-0.010002,0,-0.010002
2010/2/3,-0.124785525,1.487101479,0.056838609,1.367547112,-1.00223447,2.335556162,1.785795572,2.210003,2.210003,0
2010/2/4,0.296735905,0.666842684,0.042039921,-0.320016219,-0.481336881,-0.184799994,0.606913665,3.859996,3.859996,0
2010/2/5,0.015571473,-3.435940721,-6.211823969,-5.531870344,-5.022113997,-3.795803846,-5.176194048,1.480004,1.480004,0
2010/2/8,-0.031138097,0.391196038,-1.297438163,0.231632564,-2.185081937,0.313884253,0.445423354,-0.460003,0,-0.460003
2010/2/9,-0.155738981,1.575061319,4.692723086,1.804000753,2.325431895,2.024185621,2.66077342,-0.789997,0,-0.789997
2010/2/10,0.171580097,2.427965225,1.358542409,0.918893265,2.289072184,0.852602877,1.120732334,-0.830002,0,-0.830002
2010/2/22,-0.186857677,1.999136439,1.737441944,3.936575325,2.303004307,1.231959238,0.5184764,-4.23,0,-4.23
2010/2/23,0.093603744,0.600445989,0.609667971,-0.219835995,-0.101637662,0.541946825,-0.031683438,1.200001,1.200001,0
